Title,Year,Genre,Rating
Dinner Mate,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",7.4
The Last Empress,"('2018', '2019')",['Drama'],6.7
The Wacky World of Tex Avery,"('1997', '1998')","['Animation', ' Comedy', ' Family']",5.2
Live On,"('2020', '2021')","['Drama', ' Romance']",7.5
Rooftop Prince,"('2012', '2012')","['Comedy', ' Fantasy', ' Romance']",7.8
The Haunted House: The Secret of the 'Ghost Ball',"('2016', '2016')","['Animation', ' Adventure', ' Comedy']",8.3
Life on Mars,"('2018', '2018')","['Crime', ' Drama', ' Mystery']",8.2
Psychopath Diary,"('2019', '2019')","['Comedy', ' Crime', ' Mystery']",7.8
Money Flower,"('2017', '2018')",['Drama'],6.9
Oggy and the Cockroaches,"('1997', '1997')","['Animation', ' Adventure', ' Comedy']",7.3
All In,"('2003', '2003')","['Action', ' Drama', ' Romance']",7.8
Peach of Time,"('2021', '2021')","['Drama', ' Romance']",8.2
Something About 1%,"('2016', '2016')","['Comedy', ' Romance']",7.7
Stitch!,"('2008', '2015')","['Animation', ' Comedy', ' Family']",4.5
Black Knight,"('2017', '2017')","['Fantasy', ' Romance']",6.1
Two Cops,"('2017', '2018')","['Comedy', ' Fantasy', ' Romance']",7.2
The World That They Live In,"('2008', '2008')","['Drama', ' Romance']",7.5
The Girl Who Sees Smells,"('2015', '2015')","['Comedy', ' Drama', ' Fantasy']",7.1
Rich Man,"('2018', '2018')","['Comedy', ' Romance']",6.7
Higglytown Heroes,"('2004', '2008')","['Animation', ' Family']",5.0
Bonkers,"('1993', '1994')","['Animation', ' Short', ' Action']",6.8
I Have a Lover,"('2015', '2016')","['Drama', ' Romance']",7.9
Excellent Shaman Ga Doo Shim,"('2021', '2021')","['Fantasy', ' Mystery']",7.1
The Sound of Your Heart,"('2016', '2016')",['Comedy'],8.2
Tobot,"('2018', '2018')","['Animation', ' Action', ' Adventure']",6.8
Yong Pal,"('2015', '2015')","['Drama', ' Romance']",7.5
Queen In-hyun's Man,"('2012', '2012')","['Fantasy', ' Romance']",8.0
Iljimae,"('2008', '2008')","['Action', ' History', ' Romance']",8.1
"I'm Sorry, I Love You","('2004', '2004')","['Drama', ' Romance']",8.4
Syowindo: Yeowangui Jib,"('2021', '2021')","['Mystery', ' Romance', ' Thriller']",-
BTS: Bon Voyage,"('2016', '2016')",['Reality-TV'],9.6
Summer Love,"('2015', '2015')","['Comedy', ' Romance']",7.0
Flower Boy Next Door,"('2013', '2013')","['Comedy', ' Romance']",7.2
Pucca,"('2006', '2008')","['Animation', ' Action', ' Comedy']",6.7
Welcome,"('2020', '2020')","['Comedy', ' Fantasy', ' Romance']",7.1
A-TEEN,"('2018', '2019')","['Comedy', ' Drama', ' Romance']",7.7
Never twice,"('2019', '2020')",['Comedy'],8.1
You're All Surrounded,"('2014', '2014')","['Action', ' Comedy', ' Mystery']",7.5
Athena: Goddess of War,"('2010', '2011')","['Action', ' Romance', ' Thriller']",6.7
EXO Next Door,"('2015', '2015')","['Comedy', ' Drama', ' Romance']",7.2
Tobot Galaxy Detectives,"('2020', '2020')",['Animation'],7.4
Catch! Teenieping,"('2020', '2020')","['Comedy', ' Fantasy']",7.1
The Game: Towards Zero,"('2020', '2020')","['Crime', ' Drama', ' Fantasy']",7.2
When My Love Blooms,"('2020', '2020')","['Drama', ' Romance']",7.6
Pasta,"('2010', '2010')","['Comedy', ' Drama', ' Romance']",7.7
Ghost,"('2012', '2012')","['Mystery', ' Thriller']",7.9
The Kingdom of the Winds,"('2008', '2009')","['Drama', ' Fantasy', ' History']",7.7
My Absolute Boyfriend,"('2019', '2019')","['Comedy', ' Fantasy', ' Romance']",7.0
RedaKai,"('2011', '2011')","['Animation', ' Action', ' Adventure']",5.6
Run BTS!,"('2015', '2015')",['Game-Show'],9.7
I Live Alone,"('2013', '2013')","['Comedy', ' Reality-TV']",8.8
Rupert,"('1991', '2020')","['Animation', ' Adventure', ' Family']",7.0
Beautiful Gong Shim,"('2016', '2016')","['Comedy', ' Crime', ' Drama']",7.4
Shopping King Louie,"('2016', '2016')","['Comedy', ' Romance']",7.5
Moment at Eighteen,"('2019', '2019')","['Drama', ' Romance']",7.6
Blood,"('2015', '2015')","['Drama', ' Horror']",6.8
Search,"('2020', '2020')","['Mystery', ' Thriller']",7.1
Graceful Family,"('2019', '2019')",['Drama'],7.9
Rainbow Ruby,"('2016', '2016')","['Animation', ' Adventure', ' Comedy']",6.4
A Witch's Love,"('2014', '2014')","['Comedy', ' Romance']",7.4
Missing You,"('2012', '2013')","['Drama', ' Romance']",7.7
Reunited Worlds,"('2017', '2017')","['Fantasy', ' Romance']",7.4
The Flower in Prison,"('2016', '2016')","['Drama', ' History']",7.3
Good Casting,"('2020', '2020')","['Action', ' Comedy', ' Crime']",7.5
What's with This Family,"('2014', '2015')","['Comedy', ' Drama', ' Romance']",7.2
Robocar Poli,"('2011', '2011')","['Animation', ' Adventure', ' Comedy']",6.1
Duel,"('2017', '2017')","['Crime', ' Sci-Fi', ' Thriller']",7.9
Goddess of Fire,"('2013', '2013')","['Drama', ' History', ' Romance']",7.6
"Lee San, Wind of the Palace","('2007', '2008')","['Drama', ' History']",8.1
God's Gift: 14 Days,"('2014', '2014')","['Fantasy', ' Mystery', ' Thriller']",8.2
Kamen Rider Ex-Aid,"('2016', '2017')","['Action', ' Adventure', ' Comedy']",7.9
Warm and Cozy,"('2015', '2015')","['Comedy', ' Romance']",6.7
Joseon Exorcist,"('2021', '2021')","['Action', ' Fantasy', ' History']",7.2
When the Devil Calls Your Name,"('2019', '2019')","['Drama', ' Fantasy', ' Music']",7.6
Little Charmers,"('2015', '2018')","['Animation', ' Adventure', ' Comedy']",5.5
Geunyeoneun Geojitmaleul Neomoo Saranghae,"('2017', '2017')","['Music', ' Romance']",6.9
Confession,"('2019', '2019')",['Drama'],7.7
A Gentleman's Dignity,"('2012', '2012')","['Comedy', ' Drama', ' Romance']",8.0
Love in Sadness,"('2019', '2019')",['Drama'],8.1
Beautiful Mind,"('2016', '2016')","['Drama', ' Mystery', ' Romance']",7.9
Painter of the Wind,"('2008', '2008')","['Drama', ' History', ' Romance']",7.9
The Rebel Hong Gil Dong,"('2017', '2017')",['Drama'],8.3
High Kick!,"('2006', '2006')",['Comedy'],8.4
My Love Eun Dong,"('2015', '2015')",['Romance'],7.8
Graceful Friends,"('2020', '2020')","['Crime', ' Drama', ' Mystery']",6.6
Tree with Deep Roots,"('2011', '2011')","['Drama', ' History']",8.3
Pororo the Little Penguin,"('2003', '2003')","['Animation', ' Family']",6.3
Sixth Sense,"('2020', '2020')","['Comedy', ' Game-Show', ' Mystery']",8.9
Secret Door,"('2014', '2014')","['Drama', ' History']",7.2
Shut Up Flower Boy Band,"('2012', '2012')","['Drama', ' Music', ' Romance']",7.9
Cunning Single Lady,"('2014', '2014')","['Comedy', ' Romance']",7.6
Ghostforce,"('2021', '2021')","['Animation', ' Action', ' Adventure']",6.2
Bossam: Steal the Fate,"('2021', '2021')","['Drama', ' History', ' Romance']",7.7
Eon Kid,"('2007', '2007')","['Animation', ' Action', ' Adventure']",8.2
Shining Inheritance,"('2009', '2009')","['Comedy', ' Drama', ' Romance']",7.6
Twenty-Twenty,"('2020', '2020')",['Drama'],7.8
Touching You,"('2016', '2016')","['Comedy', ' Romance']",7.0
"Jang Ok-jung, Living by Love","('2013', '2013')","['Drama', ' History', ' Romance']",7.5
When a Man Loves,"('2013', '2013')",['Romance'],6.9
Tale of A-rang,"('2012', '2012')","['Action', ' Comedy', ' Fantasy']",7.4
Mai geol,"('2005', '2006')","['Comedy', ' Drama', ' Romance']",7.8
"Cheat on Me, If You Can","('2020', '2020')","['Comedy', ' Mystery', ' Romance']",7.4
Bridal Mask,"('2012', '2012')","['Action', ' History', ' Romance']",8.4
Please Don't Date Him,"('2020', '2021')","['Comedy', ' Drama', ' Romance']",7.0
My Only Love Song,"('2017', '2017')","['Comedy', ' Fantasy', ' Romance']",6.9
VIP,"('2019', '2019')","['Drama', ' Mystery', ' Romance']",7.7
Monthly Magazine Home,"('2021', '2021')","['Comedy', ' Romance']",7.4
Henry Hugglemonster,"('2013', '2015')","['Animation', ' Adventure', ' Family']",5.2
Left-Handed Wife,"('2019', '2019')","['Drama', ' Romance']",6.4
"Smile, You","('2009', '2010')",['Romance'],8.3
Circle,"('2017', '2017')","['Mystery', ' Sci-Fi']",8.2
Angel Eyes,"('2014', '2014')",['Drama'],7.5
You've Fallen for Me,"('2011', '2011')","['Drama', ' Music', ' Romance']",7.1
Top Management,"('2018', '2018')","['Comedy', ' Romance']",7.1
Di-eo Ma-i Peu-ren-jeu,"('2016', '2016')","['Comedy', ' Drama']",8.3
Hush,"('2020', '2020')","['Comedy', ' Drama']",7.4
Arata the Legend,"('2013', '2013')",['Animation'],6.8
Dream Knight,"('2015', '2016')",['Drama'],6.8
Peter Pan and the Pirates,"('1990', '1991')","['Animation', ' Adventure', ' Family']",7.4
Night Light,"('2016', '2017')",['Drama'],7.0
Sirius,"('2013', '2013')","['Crime', ' Drama']",7.6
Radio Romance,"('2018', '2018')",['Romance'],6.6
The Princess' Man,"('2011', '2011')","['Action', ' Drama', ' History']",8.3
Flower Crew: Joseon Marriage Agency,"('2019', '2019')","['Comedy', ' History', ' Romance']",6.9
"Marriage, Not Dating","('2014', '2014')","['Comedy', ' Romance']",7.6
Squad 38,"('2016', '2016')","['Comedy', ' Crime', ' Drama']",7.9
Glitch,"('2022', '2022')","['Comedy', ' Mystery', ' Sci-Fi']",-
Three Meals a Day,"('2014', '2014')",['Reality-TV'],8.7
Missing: The Other Side,"('2020', '2020')","['Fantasy', ' Mystery', ' Thriller']",7.9
The Ghost Detective,"('2018', '2018')",['Mystery'],7.0
Detectives of Seonam Girls High School,"('2014', '2020')",['Drama'],7.6
Class of Lies,"('2019', '2019')","['Crime', ' Drama', ' Mystery']",7.8
Ms. Hammurabi,"('2018', '2018')","['Comedy', ' Drama']",7.6
"Sassy, Go Go","('2015', '2015')","['Comedy', ' Drama', ' Romance']",7.4
Temptation,"('2014', '2014')",['Drama'],7.3
Ho Goo's Love,"('2015', '2015')","['Comedy', ' Romance']",7.5
Kamen Rider W,"('2009', '2010')","['Action', ' Adventure', ' Comedy']",8.3
Alone in Love,"('2006', '2006')","['Drama', ' Romance']",8.7
Nine: Nine Time Travels,"('2013', '2013')","['Fantasy', ' Mystery', ' Romance']",8.2
When Time Stops,"('2018', '2018')",['Fantasy'],6.7
Queen: Love and War,"('2019', '2020')",['Drama'],7.7
My Only One,"('2018', '2018')",['Drama'],7.8
The Return of Superman,"('2013', '2013')",['Reality-TV'],8.6
Blade Man,"('2014', '2014')","['Fantasy', ' Romance']",6.4
Suriname,,"Biography, Crime, Drama",-
We Got Married,"('2008', '2008')",['Reality-TV'],7.4
Hello My Teacher,"('2005', '2005')","['Drama', ' Romance']",7.2
Fates and Furies,"('2018', '2018')","['Drama', ' Romance']",7.1
The King's Dream,"('2012', '2013')","['Drama', ' History']",7.1
Kamen Rider Ryuki,"('2002', '2003')","['Action', ' Adventure', ' Drama']",7.8
The Chaser,"('2012', '2012')","['Action', ' Crime', ' Mystery']",7.7
Kkondae Intern,"('2020', '2020')","['Comedy', ' Drama']",7.3
Lie to Me,"('2011', '2011')","['Comedy', ' Drama', ' Romance']",7.2
Bread Barbershop,"('2020', '2020')",['Animation'],7.6
"Please Come Back, Mister","('2016', '2016')","['Comedy', ' Drama', ' Fantasy']",7.4
High School King of Savvy,"('2014', '2014')","['Comedy', ' Romance']",7.1
The Lady in Dignity,"('2017', '2017')","['Drama', ' Mystery', ' Romance']",7.5
BTS: Burn the Stage,"('2018', '2018')",['Documentary'],9.2
Bakugan Battle Brawlers: Gundalian Invaders,"('2010', '2012')","['Animation', ' Action']",6.1
Dae Jo Yeong,"('2006', '2007')","['Biography', ' Drama', ' History']",8.3
Padam Padam,"('2011', '2012')","['Fantasy', ' Romance']",7.7
Lies of Lies,"('2020', '2020')",['Drama'],7.5
Nokdu Flower,"('2019', '2019')",['Drama'],7.9
Bernard,"('1998', '2012')","['Animation', ' Comedy', ' Family']",6.2
Robot Trains,"('2017', '2021')","['Animation', ' Action', ' Adventure']",6.1
High-End Crush,"('2015', '2016')","['Comedy', ' Romance']",7.3
My Wife's Having an Affair This Week,"('2016', '2016')","['Comedy', ' Drama', ' Romance']",7.5
The Snow Queen,"('2006', '2007')","['Drama', ' Romance']",7.9
Transformers: Robots in Disguise,"('2000', '2000')","['Animation', ' Action', ' Adventure']",6.8
Level Up,"('2019', '2019')",['Romance'],6.6
Weekly Idol,"('2011', '2011')","['Game-Show', ' Talk-Show']",7.7
Scent of a Woman,"('2011', '2011')","['Drama', ' Romance']",7.9
W.H.Y.: What Happened to Your Relationship,"('2018', '2018')","['Comedy', ' Drama', ' Romance']",8.0
Handsome Guy and Jung-Eum,"('2018', '2018')","['Comedy', ' Romance']",6.7
Grand Prince,"('2018', '2018')","['Drama', ' Romance']",7.5
Goodbye Mr. Black,"('2016', '2016')","['Drama', ' Thriller']",7.0
A Pledge to God,"('2018', '2018')",['Drama'],5.1
2 Days 1 Night,"('2007', '2007')","['Adventure', ' Comedy', ' Family']",8.0
The Third Charm,"('2018', '2018')","['Comedy', ' Romance']",6.3
Sandglass,"('1995', '1995')",['Drama'],8.8
Hospital Ship,"('2017', '2017')",['Romance'],6.4
The Good Wife,"('2016', '2016')","['Crime', ' Drama']",7.4
My Princess,"('2011', '2011')","['Comedy', ' Drama', ' Romance']",7.0
Missing 9,"('2017', '2017')","['Adventure', ' Mystery']",6.9
Monster,"('2016', '2016')",['Drama'],7.8
The Great Seer,"('2012', '2013')","['Action', ' History', ' Romance']",7.8
Twogether,"('2020', '2020')",['Reality-TV'],8.4
The Amazing Spiez!,"('2009', '2012')","['Animation', ' Action', ' Comedy']",5.6
On the Verge of Insanity,"('2021', '2021')","['Comedy', ' Drama']",8.0
The Genius,"('2013', '2013')",['Game-Show'],9.2
Bee & Puppycat: Lazy in Space,"('2013', '2013')",['Animation'],8.7
King of Masked Singer,"('2015', '2020')","['Music', ' Reality-TV']",6.7
49 Il,"('2011', '2011')","['Drama', ' Fantasy', ' Romance']",8.0
Kingmaker: The Change of Destiny,"('2020', '2020')","['Drama', ' Fantasy', ' History']",7.4
Orange Marmalade,"('2015', '2015')","['Fantasy', ' Romance']",6.4
Not Yet Thirty,"('2021', '2021')","['Comedy', ' Romance']",5.9
Cheonsangui hwawon,"('2011', '2012')",['Drama'],8.5
Love Affairs in the Afternoon,"('2019', '2019')",['Drama'],7.1
Keopi Hanjan Halkkayo?,"('2021', '2021')",['Drama'],8.2
Potato Star 2013QR3,"('2013', '2013')","['Comedy', ' Fantasy', ' Romance']",8.0
Nothing to Lose,"('2017', '2018')","['Drama', ' Romance']",6.9
My Romantic Some Recipe,"('2016', '2016')","['Comedy', ' Romance']",7.9
Jang Bo Ri Is Here,"('2014', '2014')",['Romance'],7.9
Miss Panda & Hedgehog/Pan-da-yang-gwa Go-seum-do-chi,"('2012', '2012')",['Comedy'],6.3
Beautiful World,"('2019', '2019')","['Drama', ' Mystery']",8.3
Gumiho: Tale of the Fox's Child,"('2010', '2010')","['Drama', ' Fantasy', ' Thriller']",7.4
YooHoo and Friends,"('2011', '2011')","['Animation', ' Comedy', ' Family']",6.2
Amazing Saturday,"('2018', '2018')",['Game-Show'],8.4
Diary of a Prosecutor,"('2019', '2019')",['Drama'],8.2
Aggressive Retsuko,"('2016', '2018')","['Animation', ' Comedy', ' Musical']",8.2
Your Honor,"('2018', '2018')",['Drama'],7.7
The Tasty Florida,"('2021', '2021')",['Romance'],7.9
Kamen Rider Decade,"('2009', '2009')","['Action', ' Adventure', ' Drama']",7.0
Lovely Horribly,"('2018', '2018')","['Comedy', ' Drama', ' Horror']",6.5
Babel,"('2019', '2019')","['Drama', ' Mystery']",6.7
Heartless City,"('2013', '2013')","['Action', ' Crime', ' Drama']",8.2
The Sound of Magic,,Drama,-
I Wanna Hear Your Song,"('2019', '2019')","['Comedy', ' Drama', ' Music']",7.3
Youn's Kitchen,"('2017', '2018')",['Reality-TV'],8.7
Don't Look Back: The Legend of Orpheus,"('2013', '2013')","['Drama', ' Romance', ' Thriller']",7.6
School,"('1999', '1999')","['Drama', ' Mystery']",8.1
Player,"('2018', '2018')","['Comedy', ' Crime', ' Drama']",7.8
Hai seukool,"('2014', '2015')","['Drama', ' Fantasy', ' Romance']",7.3
Tomorrow's Cantabile,"('2014', '2014')","['Comedy', ' Drama', ' Music']",7.3
Glass Slippers,"('2002', '2002')","['Drama', ' Romance']",7.5
"Bad Thief, Good Thief","('2017', '2017')","['Crime', ' Drama']",8.2
Last,"('2015', '2015')","['Crime', ' Drama', ' Thriller']",7.7
Whisker Haven Tales with the Palace Pets,"('2015', '2015')",['Animation'],7.8
Love Rain,"('2012', '2012')","['Comedy', ' Drama', ' Romance']",7.6
Bubblegum,"('2015', '2015')",['Romance'],6.6
My Secret Hotel,"('2014', '2014')","['Comedy', ' Mystery', ' Romance']",6.5
Hwang Jin Yi,"('2006', '2006')",['Drama'],8.2
"King's Daughter, Soo Baek Hyang","('2013', '2014')","['Action', ' Drama', ' Romance']",7.9
Gunman in Joseon,"('2014', '2014')","['Action', ' History', ' Romance']",7.2
Happy Together,"('1999', '1999')","['Comedy', ' Drama', ' Romance']",7.4
"Gwanggaeto, the Great Conqueror","('2011', '2012')","['Biography', ' Drama', ' History']",8.6
Birthcare Center,"('2020', '2020')","['Comedy', ' Drama']",7.7
"When Flowers Bloom, I Think of the Moon","('2021', '2021')","['Drama', ' History', ' Romance']",-
You Are My Destiny,"('2008', '2009')","['Drama', ' Family', ' Romance']",7.8
Dr. Jin,"('2012', '2012')",['Fantasy'],6.5
The Legend,"('2007', '2007')","['Drama', ' Fantasy', ' History']",8.0
Mini Force: The Beginning,"('2014', '2016')","['Animation', ' Action', ' Adventure']",3.3
Horse Doctor,"('1998', '2013')","['Drama', ' History', ' Romance']",7.6
The Road: Tragedy of One,"('2021', '2021')","['Mystery', ' Thriller']",6.4
The Greatest Love,"('2011', '2011')","['Comedy', ' Drama', ' Romance']",7.8
My Fellow Citizens,"('2019', '2019')",['Comedy'],7.0
Mask,"('2015', '2015')","['Drama', ' Romance']",7.7
Reign: The Conqueror,"('1997', '2000')","['Animation', ' Action', ' Adventure']",6.9
I Need Romance,"('2011', '2011')",['Romance'],7.1
Two Women's Room,"('2013', '2014')","['Drama', ' Romance']",-
Bride of the Century,"('2014', '2014')","['Drama', ' Fantasy', ' Romance']",7.1
Mama Fairy and the Woodcutter,"('2018', '2018')","['Comedy', ' Fantasy', ' Romance']",5.1
Welcome 2 Life,"('2019', '2019')","['Drama', ' Fantasy']",7.3
Peng,"('2021', '2021')",['Comedy'],5.9
Meteorological Administration People: Office Romance Cruelty,"('2022', '2022')","['Drama', ' Romance']",-
Let's Eat,"('2013', '2013')","['Comedy', ' Romance']",7.7
Woman of 9.9 Billion,"('2019', '2019')",['Drama'],7.4
Punch,"('2014', '2015')","['Drama', ' Romance', ' Thriller']",7.8
My Fair Lady,"('2009', '2009')","['Comedy', ' Romance']",7.0
"Ms. Ma, Nemesis","('2018', '2018')",['Mystery'],7.3
Uchu Sentai Kyuranger,"('2017', '2018')","['Action', ' Adventure', ' Comedy']",7.4
Paik's Spirit,"('2021', '2021')",['Talk-Show'],6.2
Devilish Joy,"('2018', '2018')",['Romance'],7.1
Pinkfong Wonderstar,"('2019', '2019')",['Animation'],7.4
Royal Secret Agent,"('2020', '2021')","['Comedy', ' Mystery', ' Romance']",7.5
Mistress,"('2018', '2018')","['Mystery', ' Romance']",8.5
Oh My Baby,"('2020', '2020')","['Drama', ' Romance']",7.3
That Man Oh Soo,"('2018', '2018')","['Fantasy', ' Romance']",6.6
You Are the Best!,"('2013', '2013')","['Comedy', ' Drama', ' Romance']",7.3
The Royal Gambler,"('2016', '2016')","['Drama', ' History']",7.5
Smile Again,"('2010', '2011')",['Family'],8.5
The Accidental Couple (That Fool),"('2009', '2009')","['Comedy', ' Drama', ' Romance']",7.7
The King's Face,"('2014', '2015')","['Action', ' Drama', ' Romance']",7.5
"Baker King, Kim Tak Goo","('2010', '2010')","['Drama', ' Family', ' Romance']",8.1
Cubix: Robots for Everyone,"('2001', '2004')","['Animation', ' Family', ' Sci-Fi']",6.1
Lookout,"('2017', '2017')",['Action'],7.8
Immortal Classic,"('2012', '2016')",['Romance'],7.5
Shine or Go Crazy,"('2015', '2015')","['Drama', ' Fantasy', ' Romance']",7.4
Falsify,"('2017', '2017')","['Drama', ' Thriller']",7.8
Girl's High School Mystery Class,"('2021', '2021')",['Game-Show'],8.8
Best Lover,"('2016', '2016')","['Drama', ' Romance']",6.8
Gye Baek,"('2011', '2011')","['Drama', ' History']",7.8
Kamen Rider Kabuto,"('2006', '2007')","['Action', ' Adventure', ' Drama']",7.9
Kamen Rider Kuuga,"('2000', '2001')","['Action', ' Adventure', ' Drama']",8.2
Ja Myung Go,"('2009', '2009')","['Drama', ' Fantasy', ' History']",7.5
It's Okay to Be Sensitive,"('2018', '2018')","['Comedy', ' Drama', ' Romance']",7.7
Trap,"('2019', '2019')",['Thriller'],7.6
Kongsuni and Friends,"('2017', '2017')",['Animation'],5.0
Inspiring Generation,"('2014', '2014')","['Action', ' Crime', ' Drama']",7.6
My Korean Jagiya,"('2017', '2018')","['Comedy', ' Romance']",8.0
Kim Soo Ro,"('2010', '2010')","['Drama', ' Romance']",7.0
Angry Mom,"('2015', '2015')","['Comedy', ' Drama']",7.6
Times,"('2021', '2021')","['Crime', ' Drama', ' Fantasy']",7.3
The Fugitive: Plan B,"('2010', '2010')","['Action', ' Comedy', ' Romance']",7.0
Band of Sisters,"('2017', '2017')",['Drama'],8.5
"Village Survival, the Eight","('2018', '2019')","['Game-Show', ' Reality-TV']",8.7
X Man,"('2003', '2007')",['Game-Show'],7.4
Tomorrow Victory,"('2015', '2016')","['Drama', ' Romance']",9.3
Jang Geum's Dream,"('2005', '2007')","['Animation', ' Adventure', ' Comedy']",8.1
Diary of a Night Watchman,"('2014', '2014')","['Drama', ' Fantasy']",6.0
Miss Korea,"('2013', '2013')","['Comedy', ' Drama', ' Romance']",7.0
When I Was the Most Beautiful,"('2020', '2020')","['Drama', ' Romance']",6.9
All About My Romance,"('2013', '2013')","['Comedy', ' Romance']",7.7
Single's Inferno,"('2021', '2021')",['Reality-TV'],-
Five Fingers,"('2012', '2012')",['Drama'],7.3
Lucky Romance,"('2016', '2016')","['Comedy', ' Romance']",7.1
American Hustle Life,"('2014', '2014')",['Reality-TV'],8.7
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,"('2018', '2019')","['Action', ' Adventure', ' Comedy']",7.7
Sixteen,"('2015', '2015')","['Drama', ' Music', ' Reality-TV']",7.4
Page Turner,"('2016', '2016')","['Drama', ' Music']",7.9
Revolutionary Sisters,"('2021', '2021')","['Comedy', ' Drama', ' Mystery']",6.0
Bad Boy,"('2010', '2010')","['Drama', ' Mystery', ' Romance']",7.7
Missing Noir M,"('2015', '2015')","['Action', ' Crime', ' Thriller']",7.8
The Greatest Divorce,"('2018', '2018')","['Comedy', ' Romance']",7.3
Infinite Challenge,"('2005', '2018')",['Reality-TV'],8.5
Baby Faced Beauty,"('2011', '2011')","['Comedy', ' Romance']",6.7
Kamen Rider Gaim,"('2013', '2014')","['Action', ' Adventure', ' Comedy']",8.2
Sabotage City,"('2022', '2022')","['Drama', ' Mystery', ' Thriller']",-
Soul Mechanic,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",7.7
Sweet Munchies,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",7.0
The Village: Achiara's Secret,"('2015', '2015')","['Mystery', ' Thriller']",7.3
Kamen Rider OOO,"('2010', '2011')","['Action', ' Adventure', ' Comedy']",8.0
Tong: Memories,"('2016', '2016')",['Drama'],8.0
The Merchant: Gaekju 2015,"('2015', '2016')","['Drama', ' History']",7.9
Kamen Rider 555,"('2003', '2004')","['Action', ' Adventure', ' Drama']",8.4
"Beautiful Love, Wonderful Life","('2019', '2019')","['Comedy', ' Drama', ' Romance']",7.3
Twinkle Twinkle,"('2011', '2011')","['Drama', ' Romance']",7.6
Vampire Detective,"('2016', '2016')","['Crime', ' Fantasy']",6.7
I Need Romance 3,"('2014', '2014')","['Comedy', ' Drama', ' Romance']",7.6
Youth Over Flowers,"('2014', '2016')",['Reality-TV'],8.5
Pride and Prejudice,"('2014', '2015')","['Drama', ' Romance']",7.0
Drama Special,"('2010', '2010')",['Drama'],6.1
The Return of Iljimae,"('2009', '2009')","['Action', ' Drama', ' Romance']",7.8
Partner,"('2009', '2009')","['Drama', ' Romance']",6.9
Dating Agency: Cyrano,"('2013', '2013')","['Drama', ' Romance']",7.2
Whisper,"('2017', '2017')",['Drama'],7.2
My Dangerous Wife,"('2020', '2020')","['Crime', ' Mystery', ' Thriller']",8.0
Jang Yeong-Sil,"('2016', '2016')","['Biography', ' Drama', ' History']",7.8
A Man Called God,"('2010', '2010')",['Romance'],6.2
K-Pop the Ultimate Audition,"('2012', '2012')","['Comedy', ' Drama', ' Music']",6.8
Sketch,"('2018', '2018')","['Action', ' Drama', ' Fantasy']",7.6
Who Are You,"('2013', '2013')","['Fantasy', ' Horror', ' Mystery']",6.9
"Friend, Our Legend","('2009', '2009')","['Action', ' Crime', ' Drama']",8.4
Moorim School,"('2016', '2016')","['Action', ' Drama']",7.0
One More Happy Ending,"('2016', '2016')","['Comedy', ' Romance']",7.3
The Time We Were Not in Love,"('2015', '2015')","['Comedy', ' Drama', ' Romance']",7.3
Mrs. Cop,"('2015', '2015')",['Crime'],8.0
Green Rose,"('2005', '2005')","['Drama', ' Mystery', ' Romance']",8.1
Final Fantasy: Unlimited,"('2001', '2002')","['Animation', ' Adventure', ' Fantasy']",6.1
Flowering Heart,"('2016', '2016')","['Animation', ' Action', ' Adventure']",6.6
I jukilnomui sarang,"('2005', '2005')","['Drama', ' Romance']",7.5
The Greatest Marriage,"('2014', '2014')","['Comedy', ' Drama', ' Romance']",6.8
Risky Romance,"('2018', '2018')","['Drama', ' Romance']",7.2
Youth Recipe,"('2021', '2021')",['Drama'],7.8
Protect the Boss,"('2011', '2011')","['Comedy', ' Drama', ' Romance']",7.0
Road to Kingdom,"('2020', '2020')","['Music', ' Reality-TV']",7.9
The Wind Blows,"('2019', '2019')",['Drama'],7.7
Less Than Evil,"('2018', '2018')","['Crime', ' Drama']",7.6
Gon,"('2012', '2013')",['Animation'],5.8
D-Day,"('2015', '2015')","['Drama', ' Romance']",7.7
Fashion 70's,"('2005', '2005')",['Drama'],8.0
Tickety Toc,"('2012', '2012')","['Animation', ' Family']",2.7
Children of a Lesser God,"('2018', '2018')","['Drama', ' Fantasy', ' Mystery']",7.9
Rubeusutori in Habeodeu,"('2004', '2004')","['Romance', ' Drama']",7.4
Armored saurus,"('2021', '2021')",['Action'],-
Master in the House,"('2017', '2017')",['Reality-TV'],8.6
Scripting Your Destiny,"('2021', '2021')","['Comedy', ' Fantasy', ' Romance']",7.2
Get Revenge,"('2020', '2020')","['Drama', ' Mystery']",7.5
Emperor of the Sea,"('2004', '2005')",['Drama'],8.0
The Suspicious Housekeeper,"('2013', '2013')","['Drama', ' Mystery']",7.6
Room No. 9,"('2018', '2018')","['Drama', ' Fantasy', ' Mystery']",7.8
Pretty Boy,"('2013', '2013')","['Comedy', ' Romance']",6.3
Hangout with Yoo,"('2019', '2019')","['Comedy', ' Reality-TV']",-
Happy If You Died,"('2018', '2018')","['Comedy', ' Fantasy', ' Romance']",6.8
Kong: The Animated Series,"('2000', '2001')","['Animation', ' Action', ' Adventure']",5.9
Fashion King,"('2012', '2012')",['Drama'],6.0
